
"1527110161-68","https://motos.coches.net/ocasion/?pg=18&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM GTS 125 EVO","1.700 €","11.500 km","125 cc","Barcelona","2011"
"1527110187-345","https://motos.coches.net/ocasion/?pg=8&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Citycom 300i","1.490 €","10.300 km","298 cc","Barcelona","2010"
"1527110173-203","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Symphony S 125 LX","1.999 €","N/D km","124 cc","Madrid","2018"
"1527110166-117","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Symphony 125 SR","1.700 €","4.300 km","125 cc","Barcelona","2017"
"1527110203-497","https://motos.coches.net/ocasion/?pg=2&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Mask 125i","1.999 €","N/D km","125 cc","Madrid","2018"
"1527110173-202","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM X-Pro 50","999 €","27.922 km","49 cc","Madrid","2013"
"1527110178-252","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM HD 125","1.200 €","22.522 km","124 cc","Girona","2005"
"1527110161-60","https://motos.coches.net/ocasion/?pg=18&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Fiddle II 125 S","1.490 €","16.000 km","125 cc","Barcelona","2010"
"1527110176-213","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Symphony 125 SR","1.400 €","3.030 km","125 cc","Barcelona","2016"
"1527110176-235","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Fiddle II 125 S","1.450 €","5.800 km","125 cc","Pontevedra","2016"
"1527110176-216","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Fiddle III 125","1.700 €","4.800 km","125 cc","Barcelona","2015"
"1527110171-168","https://motos.coches.net/ocasion/?pg=14&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM HD 200i EVO","1.000 €","22.000 km","171 cc","Barcelona","2009"
"1527110203-491","https://motos.coches.net/ocasion/?pg=2&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Jet 14 125","1.999 €","2.395 km","125 cc","Alicante","2017"
"1527110178-257","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Symphony 125 SR","1.390 €","18.706 km","125 cc","Madrid","2013"
"1527110184-294","https://motos.coches.net/ocasion/?pg=9&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Symphony 125 SR","1.400 €","14.560 km","125 cc","Granada","2011"
"1527110200-467","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Fiddle III 125","1.450 €","13.000 km","125 cc","Barcelona","2013"
"1527110190-363","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Symphony 125 DD","1.690 €","8.000 km","125 cc","Barcelona","2012"
"1527110163-73","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Symphony 125 SR Sport","1.150 €","23.000 km","125 cc","Madrid","2014"
"1527110190-351","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Symphony 125 SR","1.899 €","2.200 km","125 cc","Toledo","2017"
"1527110166-106","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM GTS 250i","1.399 €","32.310 km","250 cc","Badajoz","2008"
"1527110171-167","https://motos.coches.net/ocasion/?pg=14&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Symphony 125 SR","1.200 €","16.000 km","125 cc","Sevilla","2017"
"1527110158-41","https://motos.coches.net/ocasion/?pg=19&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Fiddle II 50 s","1.000 €","15.000 km","50 cc","Valencia","2015"
"1527110155-9","https://motos.coches.net/ocasion/?pg=20&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM Fiddle II 125 S","1.499 €","13.496 km","125 cc","Valencia","2012"
"1527110190-354","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","SYM JOYRIDE 200","950 €","20.000 km","200 cc","Barcelona","2008"
