
"1527110176-231","https://motos.coches.net/ocasion/?pg=12&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA PCX 125","1.999 €","3.139 km","125 cc","Madrid","2015"
"1527110163-90","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA XL 125 Varadero","1.990 €","55.000 km","124 cc","Madrid","2005"
"1527110200-473","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA SCOOPY SH125i","1.455 €","26.400 km","125 cc","Barcelona","2006"
"1527110192-400","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CB 250 TWO FIFTY","1.600 €","25.625 km","237 cc","Barcelona","1994"
"1527110166-110","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CB 500","1.850 €","48.000 km","499 cc","Madrid","2002"
"1527110173-206","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CB 250 F","1.200 €","26.000 km","250 cc","Valencia","2004"
"1527110173-191","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CMX Rebel 250","1.795 €","18.256 km","234 cc","Murcia","1999"
"1527110181-289","https://motos.coches.net/ocasion/?pg=10&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA @ 125","700 €","27.000 km","124 cc","Granada","2007"
"1527110161-51","https://motos.coches.net/ocasion/?pg=18&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA CB 250 TWO FIFTY","1.590 €","13.266 km","234 cc","Cáceres","2002"
"1527110166-124","https://motos.coches.net/ocasion/?pg=16&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA SCOOPY 75","900 €","30.000 km","75 cc","Salamanca","1995"
"1527110192-391","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA PCX 125","1.999 €","17.442 km","125 cc","Valencia","2014"
"1527110190-348","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","HONDA @ 125","1.500 €","27.000 km","124 cc","Barcelona","2012"
