
"1527110198-435","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X-CITY 250","1.900 €","50.000 km","249 cc","Barcelona","2009"
"1527110155-1","https://motos.coches.net/ocasion/?pg=20&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 125 Classic","1.900 €","7.500 km","124 cc","Madrid","2016"
"1527110178-247","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 125 Classic","1.800 €","5.195 km","124 cc","Murcia","2017"
"1527110163-83","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 125 Classic","1.300 €","2.400 km","124 cc","Badajoz","2009"
"1527110181-271","https://motos.coches.net/ocasion/?pg=10&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA TT R 250","1.700 €","20.600 km","249 cc","Barcelona","2001"
"1527110173-207","https://motos.coches.net/ocasion/?pg=13&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 125","1.050 €","15.500 km","123 cc","Madrid","2006"
"1527110178-264","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA SR 250","1.500 €","40.300 km","250 cc","Guipúzcoa","1991"
"1527110190-346","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA DT 50 R","1.900 €","1.000 km","50 cc","Madrid","2008"
"1527110192-376","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 125","1.800 €","1.000 km","124 cc","Barcelona","2015"
"1527110184-302","https://motos.coches.net/ocasion/?pg=9&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA SR 250 Special","1.000 €","22.500 km","249 cc","Sevilla","2000"
"1527110190-365","https://motos.coches.net/ocasion/?pg=7&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YZF 600 Thundercat","2.000 €","40.000 km","599 cc","Barcelona","2002"
"1527110178-246","https://motos.coches.net/ocasion/?pg=11&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA SRX 400","1.999 €","39.000 km","400 cc","Madrid","1988"
"1527110171-161","https://motos.coches.net/ocasion/?pg=14&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XV 250 Virago","750 €","24.600 km","248 cc","Málaga","1998"
"1527110198-448","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X MAX 250","1.200 €","26.000 km","249 cc","Guipúzcoa","2006"
"1527110192-390","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA D'elight","1.200 €","16.535 km","114 cc","Murcia","2015"
"1527110192-385","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Majesty 125","1.000 €","50.000 km","125 cc","Pontevedra","2005"
"1527110195-419","https://motos.coches.net/ocasion/?pg=5&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA SR 250 Special","850 €","43.300 km","250 cc","Castellón","1992"
"1527110198-437","https://motos.coches.net/ocasion/?pg=4&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA X MAX 250","1.690 €","41.550 km","249 cc","Madrid","2007"
"1527110181-270","https://motos.coches.net/ocasion/?pg=10&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Cygnus X","700 €","32.200 km","124 cc","Madrid","2006"
"1527110195-430","https://motos.coches.net/ocasion/?pg=5&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA XV 535","1.790 €","35.000 km","535 cc","Madrid","1991"
"1527110171-173","https://motos.coches.net/ocasion/?pg=14&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA DT 125","1.800 €","11.500 km","124 cc","Barcelona","2004"
"1527110187-328","https://motos.coches.net/ocasion/?pg=8&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YBR 250","1.800 €","24.829 km","249 cc","Albacete","2008"
"1527110205-549","https://motos.coches.net/ocasion/?pg=1&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Majesty 125","1.290 €","32.000 km","125 cc","Barcelona","2008"
"1527110168-148","https://motos.coches.net/ocasion/?pg=15&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Aerox 50","800 €","1.537 km","49 cc","Lugo","2004"
"1527110163-82","https://motos.coches.net/ocasion/?pg=17&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Neo's 50","1.100 €","8.000 km","49 cc","Cádiz","2014"
"1527110192-377","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA SR 250 Special","1.300 €","49.000 km","250 cc","Alicante","1995"
"1527110205-548","https://motos.coches.net/ocasion/?pg=1&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA FZ6 S","N/D","90.000 km","600 cc","Málaga","2004"
"1527110203-501","https://motos.coches.net/ocasion/?pg=2&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Neo's 50","1.400 €","10.355 km","49 cc","Alicante","2016"
"1527110195-412","https://motos.coches.net/ocasion/?pg=5&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA YP Majesty 400","2.000 €","72.700 km","395 cc","Barcelona","2007"
"1527110192-379","https://motos.coches.net/ocasion/?pg=6&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA TT R 50 E","1.399 €","10 km","50 cc","Sevilla","2011"
"1527110200-465","https://motos.coches.net/ocasion/?pg=3&MaxPrice=2000&Tops=1&or=-1&fi=SortDate","YAMAHA Neo's 50","1.999 €","N/D km","49 cc","Valladolid","2018"
